From	Entry	Reviewed	Entry Name	Protein names
OSBL3_HUMAN	Q9H4L5	reviewed	OSBL3_HUMAN	Oxysterol-binding protein-related protein 3 (ORP-3) (OSBP-related protein 3)
CUL4B_HUMAN	Q13620	reviewed	CUL4B_HUMAN	Cullin-4B (CUL-4B)
BRE1A_HUMAN	Q5VTR2	reviewed	BRE1A_HUMAN	E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)
GALT_HUMAN	P07902	reviewed	GALT_HUMAN	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)
RL40A_ARATH	B9DHA6	reviewed	RL40A_ARATH	Ubiquitin-ribosomal protein eL40z fusion protein [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40z (60S ribosomal protein L40-1) (CEP52)]
DTWD2_DROME	Q9VI85	reviewed	DTWD2_DROME	tRNA-uridine aminocarboxypropyltransferase 2 (EC 2.5.1.25) (DTW domain-containing protein 2)
ATL1_HUMAN	Q8N6G6	reviewed	ATL1_HUMAN	ADAMTS-like protein 1 (ADAMTSL-1) (Punctin-1)
MMS19_HUMAN	Q96T76	reviewed	MMS19_HUMAN	MMS19 nucleotide excision repair protein homolog (hMMS19) (MET18 homolog) (MMS19-like protein)
TIN1_ARATH	Q84JN2	reviewed	TIN1_ARATH	Protein TUNICAMYCIN INDUCED 1
KCNQ2_MOUSE	Q9Z351	reviewed	KCNQ2_MOUSE	Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)
PANK2_HUMAN	Q9BZ23	reviewed	PANK2_HUMAN	Pantothenate kinase 2, mitochondrial (hPanK2) (EC 2.7.1.33) (Pantothenic acid kinase 2) [Cleaved into: Pantothenate kinase 2, mitochondrial intermediate form (iPanK2); Pantothenate kinase 2, mitochondrial mature form (mPanK2)]
CBC2_ARATH	Q9FGB1	reviewed	CBC2_ARATH	Serine/threonine-protein kinase 52 (EC 2.7.11.1) (Protein CONVERGENCE OF BLUE LIGHT AND CO2 2)
TPM1_HUMAN	P09493	reviewed	TPM1_HUMAN	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)
RS27A_HUMAN	P62979	reviewed	RS27A_HUMAN	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]
ITPI2_HUMAN	P28290	reviewed	ITPI2_HUMAN	Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2)
GCNA_DANRE	A0A0R4IWG9	reviewed	GCNA_DANRE	Germ cell nuclear acidic protein (Acidic repeat-containing protein) (Germ cell nuclear acidic peptidase)
MRP5_HUMAN	O15440	reviewed	MRP5_HUMAN	ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP) (pABC11)
VWF_HUMAN	P04275	reviewed	VWF_HUMAN	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]
CNGA3_RAT	Q9ER33	reviewed	CNGA3_RAT	Cyclic nucleotide-gated channel alpha-3 (CNG channel alpha-3) (CNG-3) (CNG3) (Cone photoreceptor cGMP-gated channel subunit alpha-3) (Gustatory cyclic nucleotide-gated cation channel) (CNGgust)
DNM1L_RAT	O35303	reviewed	DNM1L_RAT	Dynamin-1-like protein (EC 3.6.5.5) (Dynamin-like protein)
ATM_MOUSE	Q62388	reviewed	ATM_MOUSE	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated homolog) (A-T mutated homolog)
DYN3_HUMAN	Q9UQ16	reviewed	DYN3_HUMAN	Dynamin-3 (EC 3.6.5.5) (Dynamin, testicular) (T-dynamin)
REPS1_HUMAN	Q96D71	reviewed	REPS1_HUMAN	RalBP1-associated Eps domain-containing protein 1 (RalBP1-interacting protein 1)
TPS6_DICDI	Q54P86	reviewed	TPS6_DICDI	Terpene synthase 6 (EC 4.2.3.160)
CEG1A_DROME	Q9NGC3	reviewed	CEG1A_DROME	Centaurin-gamma-1A
NAC1_HUMAN	P32418	reviewed	NAC1_HUMAN	Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1)
LVSA_DICDI	Q55DM1	reviewed	LVSA_DICDI	BEACH domain-containing protein lvsA (Large volume sphere mutant protein A)
MYCB2_HUMAN	O75592	reviewed	MYCB2_HUMAN	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc)
S35B2_HUMAN	Q8TB61	reviewed	S35B2_HUMAN	Adenosine 3'-phospho 5'-phosphosulfate transporter 1 (PAPS transporter 1) (Putative MAPK-activating protein PM15) (Putative NF-kappa-B-activating protein 48) (Solute carrier family 35 member B2)
NUZM_CANAL	Q5AEI1	reviewed	NUZM_CANAL	NADH-ubiquinone oxidoreductase subunit NUO2
CE85L_HUMAN	Q5SZL2	reviewed	CE85L_HUMAN	Centrosomal protein of 85 kDa-like (Serologically defined breast cancer antigen NY-BR-15)
MYH14_HUMAN	Q7Z406	reviewed	MYH14_HUMAN	Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)
ZFHX4_MOUSE	Q9JJN2	reviewed	ZFHX4_MOUSE	Zinc finger homeobox protein 4 (Zinc finger homeodomain protein 4) (ZFH-4)
UBA6_HUMAN	A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)
VIME_HUMAN	P08670	reviewed	VIME_HUMAN	Vimentin
P2RX2_HUMAN	Q9UBL9	reviewed	P2RX2_HUMAN	P2X purinoceptor 2 (P2X2) (ATP receptor) (Purinergic receptor)
VP13A_MOUSE	Q5H8C4	reviewed	VP13A_MOUSE	Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein homolog) (Chorein) (Vacuolar protein sorting-associated protein 13A)
GTPB3_HUMAN	Q969Y2	reviewed	GTPB3_HUMAN	5-taurinomethyluridine-[tRNA] synthase subunit GTPB3, mitochondrial (EC 3.6.1.-) (GTP-binding protein 3) (Mitochondrial GTP-binding protein 1) (tRNA modification GTPase GTPBP3, mitochondrial)
NOVA_DROME	A0A0B4KGY6	reviewed	NOVA_DROME	RNA-binding protein Pasilla
RL40B_ARATH	Q42202	reviewed	RL40B_ARATH	Ubiquitin-ribosomal protein eL40y fusion protein (Protein EARLY-RESPONSIVE TO DEHYDRATION 16) (Protein EMBRYO DEFECTIVE 2167) (Protein HAPLESS 4) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40y (60S ribosomal protein L40-2) (CEP52)]
PAN3_HUMAN	Q58A45	reviewed	PAN3_HUMAN	PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)
ZTRF1_MOUSE	P0DW87	reviewed	ZTRF1_MOUSE	Zinc finger TRAF-type-containing protein 1 (Cysteine and histidine-rich protein 1)
UBP48_HUMAN	Q86UV5	reviewed	UBP48_HUMAN	Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48)
UTRN_HUMAN	P46939	reviewed	UTRN_HUMAN	Utrophin (Dystrophin-related protein 1) (DRP-1)
TTYH1_HUMAN	Q9H313	reviewed	TTYH1_HUMAN	Protein tweety homolog 1 (hTTY1) (Volume-regulated anion channel subunit TTYH1)
CO4A6_HUMAN	Q14031	reviewed	CO4A6_HUMAN	Collagen alpha-6(IV) chain
ROCO5_DICDI	Q1ZXD6	reviewed	ROCO5_DICDI	Probable serine/threonine-protein kinase roco5 (EC 2.7.11.1) (Ras of complex proteins and C-terminal of roc 5)
SNCAP_HUMAN	Q9Y6H5	reviewed	SNCAP_HUMAN	Synphilin-1 (Sph1) (Alpha-synuclein-interacting protein)
MYO15_HUMAN	Q9UKN7	reviewed	MYO15_HUMAN	Unconventional myosin-XV (Unconventional myosin-15)
MRPP3_HUMAN	O15091	reviewed	MRPP3_HUMAN	Mitochondrial ribonuclease P catalytic subunit (EC 3.1.26.5) (Mitochondrial ribonuclease P protein 3) (Mitochondrial RNase P protein 3) (Protein only RNase P catalytic subunit)
ASPH_HUMAN	Q12797	reviewed	ASPH_HUMAN	Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase)
NCOA3_RAT	Q9EPU2	reviewed	NCOA3_RAT	Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (Amplified in breast cancer-1 protein homolog) (AIB-1)
ECE1_HUMAN	P42892	reviewed	ECE1_HUMAN	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)
MYOF_HUMAN	Q9NZM1	reviewed	MYOF_HUMAN	Myoferlin (Fer-1-like protein 3)
PYGL_HUMAN	P06737	reviewed	PYGL_HUMAN	Glycogen phosphorylase, liver form (EC 2.4.1.1)
MYSA_DROME	P05661	reviewed	MYSA_DROME	Myosin heavy chain, muscle
P53_HUMAN	P04637	reviewed	P53_HUMAN	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)
SYBU_HUMAN	Q9NX95	reviewed	SYBU_HUMAN	Syntabulin (Golgi-localized syntaphilin-related protein) (Syntaxin-1-binding protein)
ASNS_HUMAN	P08243	reviewed	ASNS_HUMAN	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)
PRIO_HUMAN	P04156	reviewed	PRIO_HUMAN	Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230)
SO1A3_RAT	P70502	reviewed	SO1A3_RAT	Solute carrier organic anion transporter family member 1A3 (OAT-K2) (Sodium-independent organic anion transporter K1) (OAT-K1) (Solute carrier family 21 member 4) (rOAT-K)
NOV_ARATH	F4JTS8	reviewed	NOV_ARATH	Protein NO VEIN (Protein EMBRYO DEFECTIVE 2597)
NAZO_DROME	Q9VHT9	reviewed	NAZO_DROME	Protein Nazo
RFAC3_ARATH	Q948R9	reviewed	RFAC3_ARATH	Protein REGULATOR OF FATTY ACID COMPOSITION 3, chloroplastic
KV320_HUMAN	P01619	reviewed	KV320_HUMAN	Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL)
NANP8_HUMAN	Q6NSW7	reviewed	NANP8_HUMAN	Homeobox protein NANOGP8
ARP6_ARATH	Q8LGE3	reviewed	ARP6_ARATH	Actin-related protein 6 (Protein EARLY IN SHORT DAYS 1) (Protein SUPPRESSOR OF FRIGIDA 3)
RL32_CANAL	A0A1D8PPN6	reviewed	RL32_CANAL	Large ribosomal subunit protein eL32 (60S ribosomal protein L32)
NIPLB_DANRE	F1QBY1	reviewed	NIPLB_DANRE	Nipped-B-like protein B
TM262_MOUSE	D3Z338	reviewed	TM262_MOUSE	Cation channel sperm-associated auxiliary subunit TMEM262 (Cation channel sperm-associated auxiliary subunit eta) (Transmembrane protein 262)
LPF2_ECOLI	P0AD74	reviewed	LPF2_ECOLI	Phenylalanine--tRNA ligase operon leader peptide (pheST attenuator peptide)
MA7D3_HUMAN	Q8IWC1	reviewed	MA7D3_HUMAN	MAP7 domain-containing protein 3
CECA1_DROME	C0HKQ7	reviewed	CECA1_DROME	Cecropin-A1
AGRL3_RAT	Q9Z173	reviewed	AGRL3_RAT	Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3)
SPS2_DROME	Q9VKY8	reviewed	SPS2_DROME	Selenide, water dikinase 2 (EC 2.7.9.3) (Selenium donor protein 2) (Dsps2) (Selenophosphate synthase 2)
MS300_DROME	M9MRD1	reviewed	MS300_DROME	Muscle-specific protein 300 kDa (Nesprin-like protein Msp300)
FOSB_HUMAN	P53539	reviewed	FOSB_HUMAN	Protein FosB (FosB proto-oncogene, AP-1 transcription factor subunit) (G0/G1 switch regulatory protein 3) (Transcription factor AP-1 subunit FosB)
RRP5_MOUSE	Q6NS46	reviewed	RRP5_MOUSE	Protein RRP5 homolog (Apoptosis-linked gene 4 protein) (Programmed cell death protein 11)
APOL1_HUMAN	O14791	reviewed	APOL1_HUMAN	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)
CD209_HUMAN	Q9NNX6	reviewed	CD209_HUMAN	CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209)
CO4B_HUMAN	P0C0L5	reviewed	CO4B_HUMAN	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]
CD86_HUMAN	P42081	reviewed	CD86_HUMAN	T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (B70) (BU63) (CTLA-4 counter-receptor B7.2) (FUN-1) (CD antigen CD86)
ACH2_ARATH	F4HU51	reviewed	ACH2_ARATH	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)
MLX_HUMAN	Q9UH92	reviewed	MLX_HUMAN	Max-like protein X (Class D basic helix-loop-helix protein 13) (bHLHd13) (Max-like bHLHZip protein) (Protein BigMax) (Transcription factor-like protein 4)
NIPBL_HUMAN	Q6KC79	reviewed	NIPBL_HUMAN	Nipped-B-like protein (Delangin) (SCC2 homolog)
TIWAZ_DROME	D5SHR0	reviewed	TIWAZ_DROME	BTB/POZ domain-containing protein Tiwaz (Potassium channel tetramerization domain-containing protein Tiwaz)
NDUS1_CANAL	A0A1D8PU51	reviewed	NDUS1_CANAL	NADH-ubiquinone oxidoreductase 78 kDa subunit, mitochondrial (EC 7.1.1.2)
AGRV1_HUMAN	Q8WXG9	reviewed	AGRV1_HUMAN	Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]
SMG1_DROME	Q70PP2	reviewed	SMG1_DROME	Serine/threonine-protein kinase Smg1 (EC 2.7.11.1)
PCLO_MOUSE	Q9QYX7	reviewed	PCLO_MOUSE	Protein piccolo (Aczonin) (Brain-derived HLMN protein) (Multidomain presynaptic cytomatrix protein)
ENTP3_MOUSE	Q8BFW6	reviewed	ENTP3_MOUSE	Ectonucleoside triphosphate diphosphohydrolase 3 (NTPDase 3) (EC 3.6.1.5) (Ecto-ATP diphosphohydrolase 3) (Ecto-ATPDase 3) (Ecto-ATPase 3)
CLC7A_HUMAN	Q9BXN2	reviewed	CLC7A_HUMAN	C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1) (CD antigen CD369)
RBBP6_HUMAN	Q7Z6E9	reviewed	RBBP6_HUMAN	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)
KDM5C_MOUSE	P41230	reviewed	KDM5C_MOUSE	Lysine-specific demethylase 5C (EC 1.14.11.67) (Histone demethylase JARID1C) (Jumonji/ARID domain-containing protein 1C) (Protein SmcX) (Protein Xe169) ([histone H3]-trimethyl-L-lysine(4) demethylase 5C)
RUB1_ARATH	Q9SHE7	reviewed	RUB1_ARATH	Ubiquitin-NEDD8-like protein RUB1 [Cleaved into: Ubiquitin; NEDD8-like protein RUB1 (Ubiquitin-related protein 1) (AtRUB1)]
SPTCS_HUMAN	Q96JI7	reviewed	SPTCS_HUMAN	Spatacsin (Colorectal carcinoma-associated protein) (Spastic paraplegia 11 protein)
HNF1A_HUMAN	P20823	reviewed	HNF1A_HUMAN	Hepatocyte nuclear factor 1-alpha (HNF-1-alpha) (HNF-1A) (Liver-specific transcription factor LF-B1) (LFB1) (Transcription factor 1) (TCF-1)
CO4A3_HUMAN	Q01955	reviewed	CO4A3_HUMAN	Collagen alpha-3(IV) chain (Goodpasture antigen) [Cleaved into: Tumstatin]
C2CD3_HUMAN	Q4AC94	reviewed	C2CD3_HUMAN	C2 domain-containing protein 3
EPT1_HUMAN	Q9C0D9	reviewed	EPT1_HUMAN	Ethanolaminephosphotransferase 1 (hEPT1) (EC 2.7.8.1) (Selenoprotein I) (SelI)
I17RC_HUMAN	Q8NAC3	reviewed	I17RC_HUMAN	Interleukin-17 receptor C (IL-17 receptor C) (IL-17RC) (Interleukin-17 receptor homolog) (IL17Rhom) (Interleukin-17 receptor-like protein) (IL-17RL) (ZcytoR14)
GPX3_HUMAN	P22352	reviewed	GPX3_HUMAN	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)
MDP60_ARATH	Q5XVC4	reviewed	MDP60_ARATH	Microtubule-destabilizing protein 60
8ODP_DANRE	Q7ZWC3	reviewed	8ODP_DANRE	Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)
ADA15_HUMAN	Q13444	reviewed	ADA15_HUMAN	Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)
PLBL2_MOUSE	Q3TCN2	reviewed	PLBL2_MOUSE	Putative phospholipase B-like 2 (EC 3.1.1.-) (66.3 kDa protein) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 28 kDa form; Putative phospholipase B-like 2 40 kDa form; Putative phospholipase B-like 2 15 kDa form]
CGB3_HUMAN	P0DN86	reviewed	CGB3_HUMAN	Choriogonadotropin subunit beta 3 (Choriogonadotropin subunit beta) (CG-beta) (Chorionic gonadotropin chain beta)
LRRK1_MOUSE	Q3UHC2	reviewed	LRRK1_MOUSE	Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1)
FGFR1_HUMAN	P11362	reviewed	FGFR1_HUMAN	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)
GL1_ARATH	P27900	reviewed	GL1_ARATH	Trichome differentiation protein GL1 (Myb-related protein 0) (AtMYB0) (Protein GLABRA 1) (Protein GLABROUS 1) (R2R3-MYB transcription factor GL1)
PTP10_DROME	P35992	reviewed	PTP10_DROME	Tyrosine-protein phosphatase 10D (EC 3.1.3.48) (Receptor-linked protein-tyrosine phosphatase 10D) (DPTP10D)
ERG26_CANAL	Q5A1B0	reviewed	ERG26_CANAL	Sterol-4-alpha-carboxylate 3-dehydrogenase ERG26, decarboxylating (EC 1.1.1.170) (C-3 sterol dehydrogenase ERG26) (C-4 decarboxylase ERG26)
BAHC1_MOUSE	Q3UHR0	reviewed	BAHC1_MOUSE	BAH and coiled-coil domain-containing protein 1
CIZ1_HUMAN	Q9ULV3	reviewed	CIZ1_HUMAN	Cip1-interacting zinc finger protein (CDKN1A-interacting zinc finger protein 1) (Nuclear protein NP94) (Zinc finger protein 356)
SPT16_HUMAN	Q9BXB7	reviewed	SPT16_HUMAN	Spermatogenesis-associated protein 16 (Testis development protein NYD-SP12)
GFAP_HUMAN	P14136	reviewed	GFAP_HUMAN	Glial fibrillary acidic protein (GFAP)
R27AA_ARATH	P59271	reviewed	R27AA_ARATH	Ubiquitin-ribosomal protein eS31z fusion protein [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31z (40S ribosomal protein S27a-1)]
TRFL_HUMAN	P02788	reviewed	TRFL_HUMAN	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]
THYG_RAT	P06882	reviewed	THYG_RAT	Thyroglobulin (Tg)
YHU2_SCHPO	Q96WV6	reviewed	YHU2_SCHPO	Uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02
DEAL3_ARATH	A2RVQ4	reviewed	DEAL3_ARATH	Protein DESIGUAL 3
SCOP6_ARATH	Q0WML3	reviewed	SCOP6_ARATH	Serine rich endogenous peptide 6 (AtSCOOP6) (Phytocytokine SCOOP6) (Precursor of serine rich endogenous peptide phytocytokine 6)
KLF1_DANRE	Q90XE6	reviewed	KLF1_DANRE	Kruppel-like factor 1 (Erythroid krueppel-like transcription factor) (Kruppel-like factor d)
DESP_HUMAN	P15924	reviewed	DESP_HUMAN	Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)
PANG1_DROME	P91943	reviewed	PANG1_DROME	Protein pangolin, isoforms A/H/I/S (dTCF)
TAF1_MOUSE	Q80UV9	reviewed	TAF1_MOUSE	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250)
CSTM1_ARATH	O23035	reviewed	CSTM1_ARATH	Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 1 (AthCYSTM1)
BERO_DROME	Q9VII1	reviewed	BERO_DROME	UPAR/Ly6 domain-containing protein bero (Protein belly roll)
PACER_HUMAN	Q9H714	reviewed	PACER_HUMAN	Protein associated with UVRAG as autophagy enhancer (Pacer) (Protein Rubicon-like)
CXCR1_HUMAN	P25024	reviewed	CXCR1_HUMAN	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)
RB11B_HUMAN	Q15907	reviewed	RB11B_HUMAN	Ras-related protein Rab-11B (EC 3.6.5.2) (GTP-binding protein YPT3)
BAX_HUMAN	Q07812	reviewed	BAX_HUMAN	Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)
C209B_MOUSE	Q8CJ91	reviewed	C209B_MOUSE	CD209 antigen-like protein B (DC-SIGN-related protein 1) (DC-SIGNR1) (OtB7) (CD antigen CD209)
NCAM1_HUMAN	P13591	reviewed	NCAM1_HUMAN	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)
CO9A1_HUMAN	P20849	reviewed	CO9A1_HUMAN	Collagen alpha-1(IX) chain
PTN22_HUMAN	Q9Y2R2	reviewed	PTN22_HUMAN	Tyrosine-protein phosphatase non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (Lymphoid phosphatase) (LyP) (PEST-domain phosphatase) (PEP)
ATRIP_DROME	Q9VVN4	reviewed	ATRIP_DROME	ATR-interacting protein mus304 (Mutagen-sensitive protein 304)
S28A1_MOUSE	E9PXX9	reviewed	S28A1_MOUSE	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)
OBOX3_MOUSE	Q3UT54	reviewed	OBOX3_MOUSE	Oocyte-specific homeobox protein 3 (Oocyte-specific homeobox)
IC1_HUMAN	P05155	reviewed	IC1_HUMAN	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)
PHF8_HUMAN	Q9UPP1	reviewed	PHF8_HUMAN	Histone lysine demethylase PHF8 (EC 1.14.11.27) (EC 1.14.11.65) (PHD finger protein 8) ([histone H3]-dimethyl-L-lysine(36) demethylase PHF8) ([histone H3]-dimethyl-L-lysine(9) demethylase PHF8)
SCMC2_HUMAN	Q6KCM7	reviewed	SCMC2_HUMAN	Mitochondrial adenyl nucleotide antiporter SLC25A25 (Mitochondrial ATP-Mg/Pi carrier protein 3) (Mitochondrial Ca(2+)-dependent solute carrier protein 3) (Short calcium-binding mitochondrial carrier protein 2) (SCaMC-2) (Solute carrier family 25 member 25)
DYH7_HUMAN	Q8WXX0	reviewed	DYH7_HUMAN	Dynein axonemal heavy chain 7 (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2)
MCTP7_ARATH	Q84TJ7	reviewed	MCTP7_ARATH	Multiple C2 domain and transmembrane region protein 7
SEHBP_HUMAN	C0HLU2	reviewed	SEHBP_HUMAN	Transcriptional regulator SEHBP (Short ORF-encoded histone-binding protein) (ZNF689 upstream open reading frame protein)
SEPP1_MOUSE	P70274	reviewed	SEPP1_MOUSE	Selenoprotein P (SeP) (Plasma selenoprotein P)
TRIO_HUMAN	O75962	reviewed	TRIO_HUMAN	Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein)
HYAL1_HUMAN	Q12794	reviewed	HYAL1_HUMAN	Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1)
ZC3HE_HUMAN	Q6PJT7	reviewed	ZC3HE_HUMAN	Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37)
TLE4_HUMAN	Q04727	reviewed	TLE4_HUMAN	Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4)
PRKDC_DICDI	Q54UC0	reviewed	PRKDC_DICDI	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1)
NFYC_HUMAN	Q13952	reviewed	NFYC_HUMAN	Nuclear transcription factor Y subunit gamma (CAAT box DNA-binding protein subunit C) (Nuclear transcription factor Y subunit C) (NF-YC) (Transactivator HSM-1/2)
